code_pays,pays,annee,age_valeur,genre,sector,sector_group,population,tranche_age
CIV,Côte d'Ivoire,2026,21,female,Financial and insurance activities,Services,254,15-24
CIV,Côte d'Ivoire,2026,21,female,Human health and social work activities,Services,772,15-24
CIV,Côte d'Ivoire,2026,21,female,Information and communication,Services,157,15-24
CIV,Côte d'Ivoire,2026,21,female,Manufacturing,Industry,13501,15-24
CIV,Côte d'Ivoire,2026,21,female,Mining and quarrying,Industry,89,15-24
CIV,Côte d'Ivoire,2026,21,female,Other service activities,Services,6339,15-24
CIV,Côte d'Ivoire,2026,21,female,"Professional, scientific and technical activities",Services,48,15-24
CIV,Côte d'Ivoire,2026,21,female,Public administration and defence; compulsory social security,Services,212,15-24
CIV,Côte d'Ivoire,2026,21,female,Real estate activities,Services,132,15-24
CIV,Côte d'Ivoire,2026,21,female,Transportation and storage,Services,155,15-24
CIV,Côte d'Ivoire,2026,21,female,"Water supply; sewerage, waste management and remediation activities",Industry,39,15-24
CIV,Côte d'Ivoire,2026,21,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,17555,15-24
CIV,Côte d'Ivoire,2026,22,female,Accommodation and food service activities,Services,4748,15-24
CIV,Côte d'Ivoire,2026,22,female,Activities of extraterritorial organizations and bodies,Services,66,15-24
CIV,Côte d'Ivoire,2026,22,female,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Services,7187,15-24
CIV,Côte d'Ivoire,2026,22,female,Administrative and support service activities,Services,144,15-24
CIV,Côte d'Ivoire,2026,22,female,Agriculture; forestry and fishing,Agriculture,41308,15-24
CIV,Côte d'Ivoire,2026,22,female,"Arts, entertainment and recreation",Services,129,15-24
CIV,Côte d'Ivoire,2026,22,female,Construction,Industry,271,15-24
CIV,Côte d'Ivoire,2026,22,female,Education,Services,196,15-24
CIV,Côte d'Ivoire,2026,22,female,"Electricity; gas, steam and air conditioning supply",Industry,0,15-24
CIV,Côte d'Ivoire,2026,22,female,Financial and insurance activities,Services,246,15-24
CIV,Côte d'Ivoire,2026,22,female,Human health and social work activities,Services,750,15-24
CIV,Côte d'Ivoire,2026,22,female,Information and communication,Services,152,15-24
CIV,Côte d'Ivoire,2026,22,female,Manufacturing,Industry,13103,15-24
CIV,Côte d'Ivoire,2026,22,female,Mining and quarrying,Industry,85,15-24
CIV,Côte d'Ivoire,2026,22,female,Other service activities,Services,6150,15-24
CIV,Côte d'Ivoire,2026,22,female,"Professional, scientific and technical activities",Services,46,15-24
CIV,Côte d'Ivoire,2026,22,female,Public administration and defence; compulsory social security,Services,204,15-24
CIV,Côte d'Ivoire,2026,22,female,Real estate activities,Services,127,15-24
CIV,Côte d'Ivoire,2026,22,female,Transportation and storage,Services,150,15-24
CIV,Côte d'Ivoire,2026,22,female,"Water supply; sewerage, waste management and remediation activities",Industry,38,15-24
CIV,Côte d'Ivoire,2026,22,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,17039,15-24
CIV,Côte d'Ivoire,2026,23,female,Accommodation and food service activities,Services,4600,15-24
CIV,Côte d'Ivoire,2026,23,female,Activities of extraterritorial organizations and bodies,Services,64,15-24
CIV,Côte d'Ivoire,2026,23,female,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Services,6964,15-24
CIV,Côte d'Ivoire,2026,23,female,Administrative and support service activities,Services,139,15-24
CIV,Côte d'Ivoire,2026,23,female,Agriculture; forestry and fishing,Agriculture,40023,15-24
CIV,Côte d'Ivoire,2026,23,female,"Arts, entertainment and recreation",Services,126,15-24
CIV,Côte d'Ivoire,2026,23,female,Construction,Industry,262,15-24
CIV,Côte d'Ivoire,2026,23,female,Education,Services,190,15-24
CIV,Côte d'Ivoire,2026,23,female,"Electricity; gas, steam and air conditioning supply",Industry,0,15-24
CIV,Côte d'Ivoire,2026,23,female,Financial and insurance activities,Services,238,15-24
CIV,Côte d'Ivoire,2026,23,female,Human health and social work activities,Services,725,15-24
CIV,Côte d'Ivoire,2026,23,female,Information and communication,Services,148,15-24
CIV,Côte d'Ivoire,2026,23,female,Manufacturing,Industry,12695,15-24
CIV,Côte d'Ivoire,2026,23,female,Mining and quarrying,Industry,82,15-24
CIV,Côte d'Ivoire,2026,23,female,Other service activities,Services,5961,15-24
CIV,Côte d'Ivoire,2026,23,female,"Professional, scientific and technical activities",Services,45,15-24
CIV,Côte d'Ivoire,2026,23,female,Public administration and defence; compulsory social security,Services,199,15-24
CIV,Côte d'Ivoire,2026,23,female,Real estate activities,Services,123,15-24
CIV,Côte d'Ivoire,2026,23,female,Transportation and storage,Services,146,15-24
CIV,Côte d'Ivoire,2026,23,female,"Water supply; sewerage, waste management and remediation activities",Industry,36,15-24
CIV,Côte d'Ivoire,2026,23,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,16509,15-24
CIV,Côte d'Ivoire,2026,24,female,Accommodation and food service activities,Services,4452,15-24
CIV,Côte d'Ivoire,2026,24,female,Activities of extraterritorial organizations and bodies,Services,62,15-24
CIV,Côte d'Ivoire,2026,24,female,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Services,6735,15-24
CIV,Côte d'Ivoire,2026,24,female,Administrative and support service activities,Services,133,15-24
CIV,Côte d'Ivoire,2026,24,female,Agriculture; forestry and fishing,Agriculture,38720,15-24
CIV,Côte d'Ivoire,2026,24,female,"Arts, entertainment and recreation",Services,121,15-24
CIV,Côte d'Ivoire,2026,24,female,Construction,Industry,253,15-24
CIV,Côte d'Ivoire,2026,24,female,Education,Services,184,15-24
CIV,Côte d'Ivoire,2026,24,female,"Electricity; gas, steam and air conditioning supply",Industry,0,15-24
CIV,Côte d'Ivoire,2026,24,female,Financial and insurance activities,Services,231,15-24
CIV,Côte d'Ivoire,2026,24,female,Human health and social work activities,Services,701,15-24
CIV,Côte d'Ivoire,2026,24,female,Information and communication,Services,143,15-24
CIV,Côte d'Ivoire,2026,24,female,Manufacturing,Industry,12282,15-24
CIV,Côte d'Ivoire,2026,24,female,Mining and quarrying,Industry,80,15-24
CIV,Côte d'Ivoire,2026,24,female,Other service activities,Services,5765,15-24
CIV,Côte d'Ivoire,2026,24,female,"Professional, scientific and technical activities",Services,44,15-24
CIV,Côte d'Ivoire,2026,24,female,Public administration and defence; compulsory social security,Services,193,15-24
CIV,Côte d'Ivoire,2026,24,female,Real estate activities,Services,119,15-24
CIV,Côte d'Ivoire,2026,24,female,Transportation and storage,Services,142,15-24
CIV,Côte d'Ivoire,2026,24,female,"Water supply; sewerage, waste management and remediation activities",Industry,35,15-24
CIV,Côte d'Ivoire,2026,24,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,15971,15-24
CIV,Côte d'Ivoire,2026,25,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,51850,25-35
CIV,Côte d'Ivoire,2026,25,female,Transportation and storage,Services,506,25-35
CIV,Côte d'Ivoire,2026,25,female,"Water supply; sewerage, waste management and remediation activities",Industry,94,25-35
CIV,Côte d'Ivoire,2026,25,female,Accommodation and food service activities,Services,12572,25-35
CIV,Côte d'Ivoire,2026,25,female,Activities of extraterritorial organizations and bodies,Services,363,25-35
CIV,Côte d'Ivoire,2026,25,female,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Services,6702,25-35
CIV,Côte d'Ivoire,2026,25,female,Administrative and support service activities,Services,382,25-35
CIV,Côte d'Ivoire,2026,25,female,Agriculture; forestry and fishing,Agriculture,73578,25-35
CIV,Côte d'Ivoire,2026,25,female,"Arts, entertainment and recreation",Services,329,25-35
CIV,Côte d'Ivoire,2026,25,female,Construction,Industry,552,25-35
CIV,Côte d'Ivoire,2026,25,female,Education,Services,3748,25-35
CIV,Côte d'Ivoire,2026,25,female,"Electricity; gas, steam and air conditioning supply",Industry,141,25-35
CIV,Côte d'Ivoire,2026,25,female,Financial and insurance activities,Services,1458,25-35
CIV,Côte d'Ivoire,2026,25,female,Human health and social work activities,Services,5660,25-35
CIV,Côte d'Ivoire,2026,25,female,Information and communication,Services,559,25-35
CIV,Côte d'Ivoire,2026,25,female,Manufacturing,Industry,23443,25-35
CIV,Côte d'Ivoire,2026,25,female,Mining and quarrying,Industry,421,25-35
CIV,Côte d'Ivoire,2026,25,female,Other service activities,Services,11797,25-35
CIV,Côte d'Ivoire,2026,25,female,"Professional, scientific and technical activities",Services,469,25-35
CIV,Côte d'Ivoire,2026,25,female,Public administration and defence; compulsory social security,Services,3087,25-35
CIV,Côte d'Ivoire,2026,25,female,Real estate activities,Services,699,25-35
CIV,Côte d'Ivoire,2026,26,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,50045,25-35
CIV,Côte d'Ivoire,2026,26,female,"Water supply; sewerage, waste management and remediation activities",Industry,91,25-35
CIV,Côte d'Ivoire,2026,26,female,Transportation and storage,Services,487,25-35
CIV,Côte d'Ivoire,2026,26,female,Real estate activities,Services,673,25-35
CIV,Côte d'Ivoire,2026,26,female,Public administration and defence; compulsory social security,Services,2979,25-35
CIV,Côte d'Ivoire,2026,26,female,"Professional, scientific and technical activities",Services,452,25-35
CIV,Côte d'Ivoire,2026,26,female,Other service activities,Services,11387,25-35
CIV,Côte d'Ivoire,2026,26,female,Mining and quarrying,Industry,407,25-35
CIV,Côte d'Ivoire,2026,26,female,Manufacturing,Industry,22626,25-35
CIV,Côte d'Ivoire,2026,26,female,Information and communication,Services,540,25-35
CIV,Côte d'Ivoire,2026,26,female,Human health and social work activities,Services,5463,25-35
CIV,Côte d'Ivoire,2026,26,female,Financial and insurance activities,Services,1409,25-35
CIV,Côte d'Ivoire,2026,26,female,"Electricity; gas, steam and air conditioning supply",Industry,136,25-35
CIV,Côte d'Ivoire,2026,26,female,Education,Services,3617,25-35
CIV,Côte d'Ivoire,2026,26,female,Construction,Industry,533,25-35
CIV,Côte d'Ivoire,2026,26,female,"Arts, entertainment and recreation",Services,317,25-35
CIV,Côte d'Ivoire,2026,26,female,Agriculture; forestry and fishing,Agriculture,71018,25-35
CIV,Côte d'Ivoire,2026,26,female,Administrative and support service activities,Services,370,25-35
CIV,Côte d'Ivoire,2026,26,female,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Services,6470,25-35
CIV,Côte d'Ivoire,2026,26,female,Activities of extraterritorial organizations and bodies,Services,351,25-35
CIV,Côte d'Ivoire,2026,26,female,Accommodation and food service activities,Services,12135,25-35
CIV,Côte d'Ivoire,2026,27,female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Services,48277,25-35
CIV,Côte d'Ivoire,2026,27,female,"Water supply; sewerage, waste management and remediation activities",Industry,87,25-35
CIV,Côte d'Ivoire,2026,27,female,Transportation and storage,Services,471,25-35
CIV,Côte d'Ivoire,2026,27,female,Real estate activities,Services,651,25-35
CIV,Côte d'Ivoire,2026,27,female,Public administration and defence; compulsory social security,Services,2873,25-35
CIV,Côte d'Ivoire,2026,27,female,"Professional, scientific and technical activities",Services,436,25-35
CIV,Côte d'Ivoire,2026,27,female,Other service activities,Services,10986,25-35
CIV,Côte d'Ivoire,2026,27,female,Mining and quarrying,Industry,392,25-35
CIV,Côte d'Ivoire,2026,27,female,Manufacturing,Industry,21826,25-35
CIV,Côte d'Ivoire,2026,27,female,Information and communication,Services,521,25-35
CIV,Côte d'Ivoire,2026,27,female,Human health and social work activities,Services,5270,25-35
CIV,Côte d'Ivoire,2026,27,female,Financial and insurance activities,Services,1357,25-35
